[EVENTS] england-premier-league: 11
[EVENTS] england-championship: 24
[EVENTS] germany-bundesliga: 9
[EVENTS] france-ligue-1: 9
[EVENTS] italy-serie-a: 10
[EVENTS] italy-serie-b: 10
[EVENTS] spain-laliga: 10
[EVENTS] spain-laliga-2: 11
[EVENTS] turkiye-super-lig: 11
[MAP] mapped=728/784
[ODDS] unique_events=92
[ODDS] payloads_received=83
Generated at (UTC): 2025-10-16T19:03:36.961095
Min price: 1.20 | Combo≥0.50 | Shots/SOT/Corners OVER ML≤3.50 | Shots/SOT/Corners UNDER ML>3.50 | Window=7 | Bookmakers=Bet365
 • Fulham — Tackles Under 18.5 @ 1.909 | Fulham FC vs Arsenal FC | side=home | team= 57.1% oppA= 85.7% combo= 57.1% | ML=5.500 | Team Tackles Home
 • Liverpool — Tackles Under 16.5 @ 1.909 | Liverpool FC vs Manchester United | side=home | team= 85.7% oppA= 57.1% combo= 57.1% | ML=1.610 | Team Tackles Home
 • Manchester United — Tackles Under 20.5 @ 1.727 | Liverpool FC vs Manchester United | side=away | team= 57.1% oppA= 71.4% combo= 57.1% | ML=4.500 | Team Tackles Away
 • Nottingham Forest — Tackles Under 17.5 @ 1.727 | Nottingham Forest vs Chelsea FC | side=home | team= 85.7% oppA= 57.1% combo= 57.1% | ML=3.600 | Team Tackles Home
 • West Ham United — Tackles Under 15.5 @ 1.727 | West Ham United vs Brentford FC | side=home | team= 57.1% oppA= 57.1% combo= 57.1% | ML=2.450 | Team Tackles Home
 • Fulham — SOT Under 3.5 @ 1.571 | Fulham FC vs Arsenal FC | side=home | team= 57.1% oppA= 85.7% combo= 57.1% | ML=5.500 | Team Shots on Target Home
 • Swansea City — Corners Under 4.5 @ 1.666 | Southampton FC vs Swansea City | side=away | team= 55.6% oppA= 88.9% combo= 55.6% | ML=4.000 | Team Corners Away
 • Osasuna — Corners Under 2.5 @ 2.200 | Atletico Madrid vs CA Osasuna | side=away | team= 50.0% oppA= 50.0% combo= 50.0% | ML=8.500 | Team Corners Away
 • Valencia — Shots Under 9.5 @ 1.909 | Deportivo Alaves vs Valencia CF | side=away | team= 50.0% oppA= 50.0% combo= 50.0% | ML=3.600 | Team Shots Away
 • Getafe — SOT Under 2.5 @ 1.909 | Getafe CF vs Real Madrid | side=home | team= 50.0% oppA= 50.0% combo= 50.0% | ML=8.000 | Team Shots on Target Home
 • Lazio — SOT Under 3.5 @ 1.800 | Atalanta BC vs Lazio Rome | side=away | team= 50.0% oppA= 50.0% combo= 50.0% | ML=4.600 | Team Shots on Target Away
 • Valencia — SOT Under 3.5 @ 1.727 | Deportivo Alaves vs Valencia CF | side=away | team= 50.0% oppA= 75.0% combo= 50.0% | ML=3.600 | Team Shots on Target Away
 • Elche — Shots Under 10.5 @ 1.727 | Elche CF vs Athletic Bilbao | side=home | team= 50.0% oppA= 62.5% combo= 50.0% | ML=3.700 | Team Shots Home
 • Elche — SOT Under 3.5 @ 1.727 | Elche CF vs Athletic Bilbao | side=home | team= 50.0% oppA= 62.5% combo= 50.0% | ML=3.700 | Team Shots on Target Home
 • Parma — Corners Under 4.5 @ 1.727 | Genoa CFC vs Parma Calcio | side=away | team= 66.7% oppA= 50.0% combo= 50.0% | ML=3.900 | Team Corners Away
 • Hamburger SV — SOT Under 3.5 @ 1.727 | RB Leipzig vs Hamburger SV | side=away | team= 50.0% oppA= 66.7% combo= 50.0% | ML=7.000 | Team Shots on Target Away
 • Getafe — Corners Under 3.5 @ 1.666 | Getafe CF vs Real Madrid | side=home | team= 50.0% oppA= 62.5% combo= 50.0% | ML=8.000 | Team Corners Home
 • Real Betis — SOT Under 4.5 @ 1.615 | Villarreal CF vs Real Betis Seville | side=away | team= 50.0% oppA= 87.5% combo= 50.0% | ML=4.000 | Team Shots on Target Away


Run timestamp (UTC): 2025-10-16 19:03:36
Params: MIN_DEC_PRICE=1.20 TEAM_WIN_MAX=3.50 COMBO_MIN=0.50 WINDOW_DAYS=7 BOOKMAKERS=Bet365
