===== League 8 =====
AFC Bournemouth: SOT: 5,5,6,5,2,5,6,4,3 | Shots: 13,8,11,12,11,13,20,14,10 | Fouls: 17,16,8,13,7,16,13,13,10 | Tackles: 9,18,10,23,15,18,28,12,20 | Cards: 3,4,0,2,2,4,4,2,2 | Saves: 4,4,3,6,1,1,1,1,6 | GKicks: 7,11,6,5,5,12,9,7,11 | Corners: 6,5,4,4,5,4,8,8,7
Preston North End: SOT: 3,6,5,3,5,2,6,2,2,1 | Shots: 15,17,17,15,13,7,10,7,13,2 | Fouls: 14,8,0,6,9,9,7,13,7,14 | Tackles: 19,15,13,14,7,15,12,28,15,22 | Cards: 4,2,1,0,1,4,2,1,2,6 | Saves: 1,0,4,0,3,8,2,1,1,2 | GKicks: 8,8,7,11,7,15,9,11,10,12 | Corners: 2,9,4,3,3,2,4,3,4,3
Queens Park Rangers: SOT: 1,4,3,2,1,5,7,6,6,1 | Shots: 6,15,20,8,13,14,14,15,13,10 | Fouls: 10,9,8,8,12,19,8,10,16,8 | Tackles: 27,10,9,11,22,12,17,10,19,19 | Cards: 2,4,2,1,3,2,5,0,2,2 | Saves: 3,2,3,0,0,4,0,6,2,1 | GKicks: 8,6,9,10,9,9,15,8,13,9 | Corners: 2,3,8,1,9,4,3,9,1,4
Sheffield United: SOT: 3,5,6,4,3,2,1,2,0,4 | Shots: 11,11,18,13,8,6,13,10,8,14 | Fouls: 11,10,5,13,14,13,14,15,13,11 | Tackles: 17,11,18,14,14,19,12,15,10,12 | Cards: 1,1,0,2,3,1,1,2,3,5 | Saves: 1,2,1,1,3,3,3,6,5,5 | GKicks: 11,14,11,2,3,10,9,7,13,11 | Corners: 4,5,7,9,4,5,6,5,8,8
Sheffield Wednesday: SOT: 2,5,3,4,0,3,5,8,0,1 | Shots: 5,17,11,12,9,5,14,13,6,9 | Fouls: 14,11,8,12,9,11,12,10,19,14 | Tackles: 17,15,14,16,12,11,13,22,25,9 | Cards: 1,0,3,3,1,2,2,4,2,0 | Saves: 7,2,6,3,4,3,3,4,2,6 | GKicks: 7,9,11,10,6,20,8,13,8,10 | Corners: 3,8,6,4,13,4,5,5,4,2
Southampton: SOT: 5,7,8,6,5,2,4,1,7,2 | Shots: 12,14,21,13,12,14,14,9,12,18 | Fouls: 7,11,12,9,19,11,10,16,12,6 | Tackles: 17,16,17,9,14,25,10,6,15,13 | Cards: 2,2,0,2,4,1,3,4,5,1 | Saves: 5,1,1,4,2,0,1,1,2,2 | GKicks: 15,7,6,4,8,6,9,6,8,9 | Corners: 5,3,5,5,5,6,6,7,5,7
Stoke City: SOT: 2,3,3,6,5,6,1,3,3,4 | Shots: 11,10,12,11,18,23,7,8,13,12 | Fouls: 15,7,8,9,5,11,13,11,7,12 | Tackles: 5,8,19,8,19,17,15,14,15,9 | Cards: 3,1,2,1,0,0,3,3,2,6 | Saves: 3,5,3,4,4,2,6,0,2,1 | GKicks: 13,7,5,8,6,2,8,8,11,15 | Corners: 2,2,6,6,8,12,6,5,5,3
Swansea City: SOT: 3,2,1,7,4,2,2,2,8,2 | Shots: 9,11,6,13,7,13,9,9,17,11 | Fouls: 13,8,13,10,13,7,11,8,10,11 | Tackles: 11,20,15,18,9,16,13,14,11,21 | Cards: 3,2,4,2,2,1,4,1,2,3 | Saves: 2,3,8,4,2,2,5,4,1,3 | GKicks: 7,8,13,6,9,6,9,6,6,6 | Corners: 2,6,3,2,3,6,2,5,7,7
Watford: SOT: 8,5,1,10,6,8,4,1,4,4 | Shots: 13,18,13,27,12,21,11,14,10,9 | Fouls: 8,12,8,6,15,7,9,12,14,17 | Tackles: 17,18,12,16,15,13,20,14,11,15 | Cards: 3,0,1,3,5,1,0,1,2,5 | Saves: 0,4,4,5,3,3,1,4,5,1 | GKicks: 6,9,9,11,12,10,8,9,8,10 | Corners: 6,4,3,9,3,6,4,5,4,2
West Bromwich Albion: SOT: 6,1,4,6,1,1,5,3,4,3 | Shots: 13,10,9,16,10,5,11,15,18,12 | Fouls: 17,8,8,10,8,9,13,7,8,11 | Tackles: 12,26,18,12,16,15,14,13,9,21 | Cards: 1,1,2,2,2,4,2,0,1,2 | Saves: 2,3,3,4,1,4,1,2,0,3 | GKicks: 3,18,14,14,6,10,13,10,5,7 | Corners: 8,5,4,8,5,3,3,3,11,5
Wrexham: SOT: 7,2,6,3,4,1,5,8,8,3 | Shots: 13,6,11,5,12,9,10,11,21,6 | Fouls: 9,17,12,4,4,7,9,9,5,13 | Tackles: 11,23,10,16,17,18,20,23,20,14 | Cards: 2,5,4,0,0,1,1,3,1,3 | Saves: 3,3,2,2,2,0,2,3,4,3 | GKicks: 9,7,10,8,3,15,9,9,9,20 | Corners: 3,4,6,4,5,1,4,3,12,2

===== League 82 =====
Bayer 04 Leverkusen: SOT: 4,8,3,4,9,8,4,2 | Shots: 19,20,20,5,13,18,10,7 | Fouls: 9,11,11,11,12,10,10,9 | Tackles: 11,16,13,14,14,25,12,7 | Cards: 1,4,1,5,5,7,3,0 | Saves: 3,1,3,4,6,1,2,3 | GKicks: 3,9,7,9,6,16,9,5 | Corners: 2,3,4,1,3,4,7,6
Borussia Dortmund: SOT: 1,9,1,3,4,4,8,6,7 | Shots: 5,27,8,15,10,12,17,11,8 | Fouls: 16,10,17,13,14,10,9,14,12 | Tackles: 21,14,18,15,8,9,9,10,10 | Cards: 1,2,3,1,1,1,3,0,4 | Saves: 1,1,6,2,2,0,1,3,4 | GKicks: 5,4,9,6,6,6,4,8,5 | Corners: 3,17,3,7,5,9,4,4,2
Borussia Mönchengladbach: SOT: 0,2,5,8,7,3,6,4 | Shots: 1,8,9,11,13,19,15,17 | Fouls: 6,15,15,14,15,12,13,10 | Tackles: 19,21,21,14,24,20,20,15 | Cards: 1,3,3,1,5,1,1,2 | Saves: 7,2,1,1,7,3,4,1 | GKicks: 11,10,12,7,4,7,7,6 | Corners: 1,6,4,4,4,9,10,7
Eintracht Frankfurt: SOT: 6,3,1,7,10,2,6,5 | Shots: 10,8,6,21,19,13,9,18 | Fouls: 11,15,11,8,10,9,10,9 | Tackles: 16,25,21,14,12,13,15,21 | Cards: 0,3,1,2,3,3,3,1 | Saves: 1,3,0,4,1,4,4,4 | GKicks: 8,8,6,5,7,13,13,7 | Corners: 1,1,4,6,5,8,5,7
FC Augsburg: SOT: 1,2,4,5,2,5,5,3,5 | Shots: 9,15,10,10,8,18,10,10,14 | Fouls: 14,9,17,9,20,13,12,14,18 | Tackles: 16,20,15,10,12,15,17,21,15 | Cards: 4,3,2,2,6,1,4,3,5 | Saves: 0,2,1,3,3,0,5,7,3 | GKicks: 8,3,10,13,10,6,5,7,10 | Corners: 4,2,2,10,2,6,1,7,5
FC Bayern München: SOT: 11,7,3,13,10,12,10,10 | Shots: 27,15,12,26,18,22,20,19 | Fouls: 9,12,11,9,9,11,11,13 | Tackles: 7,11,10,13,17,8,14,13 | Cards: 3,1,2,2,2,2,4,4 | Saves: 0,0,1,3,3,2,1,1 | GKicks: 1,5,7,7,5,7,5,5 | Corners: 8,4,3,7,5,5,5,5
FC Köln: SOT: 0,2,4,7,2,8,6,2 | Shots: 5,9,10,15,13,14,18,12 | Fouls: 8,9,6,12,8,11,12,9 | Tackles: 20,17,13,9,12,12,9,10 | Cards: 2,2,1,2,1,3,2,2 | Saves: 8,3,4,3,5,3,1,2 | GKicks: 17,4,14,11,7,10,9,13 | Corners: 2,5,6,8,5,4,3,3
FC Union Berlin: SOT: 2,5,3,2,5,7,3,2 | Shots: 12,16,10,11,11,20,12,8 | Fouls: 13,21,13,18,11,13,7,21 | Tackles: 18,14,15,12,17,15,12,16 | Cards: 0,5,3,2,2,1,0,4 | Saves: 2,1,1,6,7,4,3,5 | GKicks: 11,5,11,6,15,1,8,9 | Corners: 6,6,4,5,1,9,6,5
FSV Mainz 05: SOT: 2,4,4,2,4,2,3,2 | Shots: 13,12,11,8,12,13,17,19 | Fouls: 12,19,13,12,10,12,14,7 | Tackles: 10,10,10,17,12,14,13,10 | Cards: 3,4,3,3,3,1,5,1 | Saves: 6,3,5,2,4,2,2,1 | GKicks: 8,7,6,8,7,8,6,9 | Corners: 5,2,4,7,6,3,10,8
Hamburger SV: SOT: 6,3,9,6,9,2,2,2 | Shots: 27,15,15,16,22,9,5,7 | Fouls: 8,12,14,17,15,14,13,10 | Tackles: 13,18,20,14,9,10,14,13 | Cards: 1,1,2,3,5,2,4,1 | Saves: 1,2,4,2,6,7,4,4 | GKicks: 6,7,5,8,9,6,9,10 | Corners: 11,5,1,3,1,3,2,6
Heidenheim: SOT: 3,11,1,5,8,1,3,2 | Shots: 12,31,5,11,20,6,5,7 | Fouls: 13,9,12,16,10,5,13,12 | Tackles: 17,12,9,21,14,11,16,12 | Cards: 1,1,1,1,1,3,5,2 | Saves: 4,2,5,1,7,6,4,2 | GKicks: 4,6,16,6,8,11,17,11 | Corners: 5,12,1,3,12,5,3,2
RB Leipzig: SOT: 8,4,3,6,8,3,5,1 | Shots: 15,10,13,20,18,19,19,12 | Fouls: 10,13,14,9,10,11,7,13 | Tackles: 17,12,29,16,12,16,11,18 | Cards: 1,3,3,2,1,0,2,1 | Saves: 2,2,2,4,0,2,4,3 | GKicks: 13,11,9,14,5,13,5,7 | Corners: 3,3,7,11,9,5,4,5
SC Freiburg: SOT: 3,5,1,1,5,6,2,4 | Shots: 10,12,12,6,10,14,12,16 | Fouls: 8,6,7,9,7,8,9,14 | Tackles: 22,16,17,13,17,12,8,13 | Cards: 3,2,1,2,2,1,1,4 | Saves: 2,1,5,3,5,1,2,2 | GKicks: 12,2,5,5,10,5,7,3 | Corners: 3,3,1,6,0,7,5,5
St. Pauli: SOT: 1,2,3,6,2,7,6,7 | Shots: 9,10,13,13,9,13,17,11 | Fouls: 6,10,9,13,15,10,19,13 | Tackles: 17,20,16,13,15,21,26,20 | Cards: 1,1,1,3,2,1,3,2 | Saves: 4,3,4,2,6,4,2,4 | GKicks: 4,8,3,2,5,8,5,4 | Corners: 3,9,0,13,4,3,5,5
TSG Hoffenheim: SOT: 7,5,4,4,4,8,5,5 | Shots: 14,14,15,15,13,9,17,10 | Fouls: 14,17,15,15,17,12,14,17 | Tackles: 7,14,16,11,26,21,16,15 | Cards: 1,3,3,1,1,1,2,4 | Saves: 2,2,3,0,6,5,3,2 | GKicks: 6,6,8,7,5,7,6,6 | Corners: 7,7,11,8,5,2,4,4
VfB Stuttgart: SOT: 8,7,6,5,8,2,5,6 | Shots: 19,15,18,15,17,7,13,21 | Fouls: 11,8,11,12,13,13,5,13 | Tackles: 15,16,15,14,14,10,14,13 | Cards: 4,1,1,2,0,1,2,4 | Saves: 1,3,1,5,3,3,6,0 | GKicks: 7,7,6,4,3,10,7,5 | Corners: 7,8,1,8,8,1,6,11
VfL Wolfsburg: SOT: 2,3,4,4,0,6,3,5 | Shots: 6,11,14,22,9,14,11,15 | Fouls: 18,12,7,7,9,15,15,12 | Tackles: 14,13,24,17,20,13,13,11 | Cards: 5,1,1,2,0,2,4,3 | Saves: 7,4,2,5,3,5,2,1 | GKicks: 19,10,7,9,11,9,9,7 | Corners: 1,3,5,6,3,7,3,5
Werder Bremen: SOT: 3,4,5,3,5,7,5,5 | Shots: 16,11,15,9,12,12,12,10 | Fouls: 6,11,8,4,13,9,11,9 | Tackles: 16,13,22,16,14,25,17,16 | Cards: 4,3,3,0,5,0,5,3 | Saves: 2,9,3,8,3,2,1,1 | GKicks: 10,8,12,12,7,13,3,13 | Corners: 5,2,4,6,2,4,3,1

===== League 301 =====
Angers SCO: SOT: 6,4,3,1,2,2,4,7,0,2 | Shots: 12,7,16,5,11,10,10,10,3,8 | Fouls: 7,14,15,11,13,10,7,9,9,14 | Tackles: 16,16,18,20,8,13,24,15,34,20 | Cards: 1,1,2,2,1,2,1,2,0,3 | Saves: 4,4,3,7,1,4,4,6,3,7 | GKicks: 10,12,10,6,8,9,2,6,13,14 | Corners: 5,1,10,5,11,4,3,1,0,3
