Generated at (UTC): 2025-10-13T20:17:35Z
Min price: 1.80  |  Bookmaker: Bet365  |  Leagues: 16

===== SOT 1+ — Bet365 — ≥ 1.80 =====
Player                 Team                   Fixture                                    Price Market                          HomeML  AwayML
Kaishu Sano            FSV Mainz 05           FSV Mainz vs Bayer Leverkusen             17.000 Player Shots                      2.80    2.45
Will Lankshear         Oxford United          Oxford United vs Derby County             17.000 Player Shots                      2.37    3.10
Carlos Álvarez         Levante                Levante UD vs Rayo Vallecano              15.000 Player Shots                      2.55    2.45
Cesare Casadei         Torino                 Torino FC vs SSC Napoli                   15.000 Player Shots                      5.00    1.75
Giuliano Simeone       Atlético Madrid        Atletico Madrid vs CA Osasuna             15.000 Player Shots                      1.40    7.50
Greg Docherty          Charlton Athletic      Charlton Athletic vs Sheffield Wednesday  15.000 Player Shots                      1.66    5.50
Joel Chima Fujita      St. Pauli              FC St. Pauli vs TSG Hoffenheim            15.000 Player Shots                      2.45    2.80
Marc Guéhi             Crystal Palace         Crystal Palace vs AFC Bournemouth         15.000 Player Shots                      2.20    3.25
Youssouf Fofana        Milan                  AC Milan vs ACF Fiorentina                15.000 Player Shots                      1.50    6.00
Daniel Muñoz           Crystal Palace         Crystal Palace vs AFC Bournemouth         13.000 Player Shots                      2.20    3.25
Jannik Vestergaard     Leicester City         Leicester City vs Portsmouth FC           13.000 Player Shots                      1.65    5.25
Johan Vásquez          Genoa                  Genoa CFC vs Parma Calcio                 13.000 Player Shots                      2.05    3.75
Michal Helik           Oxford United          Oxford United vs Derby County             13.000 Player Shots                      2.37    3.10
Nat Phillips           West Bromwich Albion   West Bromwich Albion vs Preston North En  13.000 Player Shots                      1.80    4.50
Adrián de la Fuente    Levante                Levante UD vs Rayo Vallecano              11.000 Player Shots                      2.55    2.45
Cameron Burgess        Swansea City           Southampton FC vs Swansea City             2.750 Player Shots                      1.90    4.10
Joe Scally             Borussia Mönchengladba Union Berlin vs Borussia Monchengladbach   2.750 Player Shots                      2.20    3.10
Jordan Storey          Preston North End      West Bromwich Albion vs Preston North En   2.375 Player Shots                      1.80    4.50
